,title,price,description,date_posted,address,url,parking,date d'emménagement,animals,area
0,"for,to rent,downtown,Montreal,McGill,studio,21/2,september",1225.0,"Studio to rent in Downtown, near McGill.Only one available for september 2023Prestigious building located on the prestigious Avenue du Docteur-Penfield in downtown Montreal, near McGill University in the Ville-Marie borough.",2023-07-12 22:02:00,"1530 DR PENFIELD, Montreal, QC, H3G 1C1",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/for-to-rent-downtown-montreal-mcgill-studio-21-2-september/1661635046,0,2023-09-01 00:00:00,Non,360
1,Renovated Studio in the Triangle,975.0,"- 10 minutes à pied du métro Plamondon
- Près des autobus 124, 161, 368 et autres
- Idéal pour les étudiants, les nouveaux arrivants ou les jeunes professionnels
- En face de Marche PA et Starbucks
- Fraîchement peint
- Lumières encastrables
- Nouveaux électroménagers en acier inoxydable
- Chauffage et eau chaude inclus
- Dernier étage
- Concierge",2023-07-10 23:46:00,"Avenue de Courtrai, Montreal, QC",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/renovated-studio-in-the-triangle/1665781481,0,2023-07-10 00:00:00,Limité,350
2,"to,for rent,downtown Montreal,dj,Westmount,studio,bachelor",1295.0,"Appartement a louer centre ville Montreal,adjacent ,Westmount,Mont RoyalBachelor, studiowith wall A/C",2023-07-09 19:10:00,"3555 Atwater, Montreal, QC, H3H 1Y3",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/to-for-rent-downtown-montreal-dj-westmount-studio-bachelor/1659419399,0,2022-09-01 00:00:00,Non,600
3,"rent,ST-LÉONARD,CONDO,bachelorto,studio,21/2,21/2,OCTOBRE 2023",1100.0,RENT A NEW APARTMENT? 1 MONTH FREE on signing leases of 12 months and more!,2023-07-12 23:30:00,"8550 Viau, Saint Leonard, QC, H1R 0E5",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/rent-st-leonard-condo-bachelorto-studio-21-2-21-2-octobre-2023/1654701588,0,2023-10-01 00:00:00,Non,Non disponible
4,"Apartment for,to,rent,Westmount,Montreal,studio,21/2,October",1195.0,"The Hillside House is a prestigious building in Westmount, close to schools, restaurants, Metro Station and Atwater Market. Our rates and quality of apartments are unbeatable. Have to see it!",2023-07-12 20:28:00,"4400 sainte catherine ouest, Montreal, QC, H3Z 1R3",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/apartment-for-to-rent-westmount-montreal-studio-21-2-october/1663970623,0,2023-10-01 00:00:00,Non,380
5,Appartement/Studio à louer 1 1/2 2 1/2 TOUT INCLUS Guy Concordia,950.0,Appartements Studio 1 1/2 & 2 1/2 à louer à proximité de l'Université Concordia/Metro Guy-ConcordiaPRIX 1 1/2 - a partir de 950$ par moisPRIX 2 1/2 - a partir de 995$ par moisPRIX 3 1/2 - a partir de 1250$ par moisPRIX 4 1/2 - a partir de 1575$ par mois,2023-07-12 20:17:00,"3455 Côte-des-Neiges, Montreal, QC, H3H 1T6",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-studio-a-louer-1-1-2-2-1-2-tout-inclus-guy-concordia/1512462938,0,,Non,Non disponible
6,1 1/2 Côte-des-Neiges 900$ Eau chaude incluse,900.0,,2023-07-12 19:42:00,"3370,  Goyer, Montréal, QC, H3S 1J1",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-1-2-cote-des-neiges-900-eau-chaude-incluse/1665947598,0,,Non,Non disponible
7,Villereray 2 1/2. Tout inclus 970$. Métro Crémazie 550m,970.0,,2023-07-12 19:12:00,"8505 Saint-Dominique, Montreal, QC, H2P 2L6",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/villereray-2-1-2-tout-inclus-970-metro-cremazie-550m/1665947591,0,,Non,Non disponible
8,"Apartment for,to,rent,Westmount,Montreal,studio,21/2,October",1195.0,"The Hillside House is a prestigious building in Westmount, close to schools, restaurants, Metro Station and Atwater Market. Our rates and quality of apartments are unbeatable. Have to see it!",2023-07-12 20:28:00,"4400 sainte catherine ouest, Montreal, QC, H3Z 1R3",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/apartment-for-to-rent-westmount-montreal-studio-21-2-october/1663970623,0,2023-10-01 00:00:00,Non,380
9,"La Citadelle - 0 Bedroom, 1 Bathroom, Studio Apartment for Rent",1240.0,"Bringing you the ultimate experience in convenient rental living, La Citadelle combines an exciting roster of on-site amenities with an excellent location, putting everything you need at your fingertips.",2023-07-13 00:06:00,"2125 rue Saint-Marc, Montréal, QC, H3H 2P1",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/la-citadelle-0-bedroom-1-bathroom-studio-apartment-for-rent/1663034604,0,2023-09-01 00:00:00,Oui,365
