,title,price,description,date_posted,address,url,parking,date d'emménagement,animals,area,location_type,location,sublocality,postal_code
0,"for,to rent,downtown,Montreal,McGill,studio,21/2,september",1225.0,"Studio to rent in Downtown, near McGill.Only one available for september 2023Prestigious building located on the prestigious Avenue du Docteur-Penfield in downtown Montreal, near McGill University in the Ville-Marie borough.",2023-07-12 22:02:00,"1530 Av. du Docteur-Penfield, Montréal, QC H3G 1C1, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/for-to-rent-downtown-montreal-mcgill-studio-21-2-september/1661635046,0,2023-09-01 00:00:00,0,360.0,ROOFTOP,"{'lat': 45.497742, 'lng': -73.5846904}",Ville-Marie,H3G 1C1
1,Renovated Studio in the Triangle,975.0,"- 10 minutes à pied du métro Plamondon
- Près des autobus 124, 161, 368 et autres
- Idéal pour les étudiants, les nouveaux arrivants ou les jeunes professionnels
- En face de Marche PA et Starbucks
- Fraîchement peint
- Lumières encastrables
- Nouveaux électroménagers en acier inoxydable
- Chauffage et eau chaude inclus
- Dernier étage
- Concierge",2023-07-10 23:46:00,"Av. de Courtrai, Montréal, QC, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/renovated-studio-in-the-triangle/1665781481,0,2023-07-10 00:00:00,1,350.0,GEOMETRIC_CENTER,"{'lat': 45.4997911, 'lng': -73.6434838}",Côte-Des-Neiges—Notre-Dame-De-Grâce,
2,"to,for rent,downtown Montreal,dj,Westmount,studio,bachelor",1295.0,"Appartement a louer centre ville Montreal,adjacent ,Westmount,Mont RoyalBachelor, studiowith wall A/C",2023-07-09 19:10:00,"3555 Av. Atwater, Montréal, QC H3H 1Y3, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/to-for-rent-downtown-montreal-dj-westmount-studio-bachelor/1659419399,0,2022-09-01 00:00:00,0,600.0,ROOFTOP,"{'lat': 45.4931818, 'lng': -73.5891781}",Ville-Marie,H3H 1Y3
3,"rent,ST-LÉONARD,CONDO,bachelorto,studio,21/2,21/2,OCTOBRE 2023",1100.0,RENT A NEW APARTMENT? 1 MONTH FREE on signing leases of 12 months and more!,2023-07-12 23:30:00,"8550 Bd Viau, Saint-Léonard, QC H1R 2T7, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/rent-st-leonard-condo-bachelorto-studio-21-2-21-2-octobre-2023/1654701588,0,2023-10-01 00:00:00,0,,ROOFTOP,"{'lat': 45.5828898, 'lng': -73.6038038}",Saint-Léonard,H1R 2T7
4,"Apartment for,to,rent,Westmount,Montreal,studio,21/2,October",1195.0,"The Hillside House is a prestigious building in Westmount, close to schools, restaurants, Metro Station and Atwater Market. Our rates and quality of apartments are unbeatable. Have to see it!",2023-07-12 20:28:00,"4400 Sainte-Catherine O, Westmount, QC H3Z 1R3, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/apartment-for-to-rent-westmount-montreal-studio-21-2-october/1663970623,0,2023-10-01 00:00:00,0,380.0,ROOFTOP,"{'lat': 45.4826164, 'lng': -73.5909416}",Westmount,H3Z 1R3
5,Appartement/Studio à louer 1 1/2 2 1/2 TOUT INCLUS Guy Concordia,950.0,Appartements Studio 1 1/2 & 2 1/2 à louer à proximité de l'Université Concordia/Metro Guy-ConcordiaPRIX 1 1/2 - a partir de 950$ par moisPRIX 2 1/2 - a partir de 995$ par moisPRIX 3 1/2 - a partir de 1250$ par moisPRIX 4 1/2 - a partir de 1575$ par mois,2023-07-12 20:17:00,"3455 Chem. de la Côte des Neiges, Montréal, QC H3H 1T6, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-studio-a-louer-1-1-2-2-1-2-tout-inclus-guy-concordia/1512462938,0,,0,,ROOFTOP,"{'lat': 45.49696650000001, 'lng': -73.5828822}",Ville-Marie,H3H 1T6
6,1 1/2 Côte-des-Neiges 900$ Eau chaude incluse,900.0,,2023-07-12 19:42:00,"3370 Rue Goyer, Montréal, QC H3S 1J1, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-1-2-cote-des-neiges-900-eau-chaude-incluse/1665947598,0,,0,,ROOFTOP,"{'lat': 45.5039918, 'lng': -73.63541099999999}",Côte-Des-Neiges—Notre-Dame-De-Grâce,H3S 1J1
7,Villereray 2 1/2. Tout inclus 970$. Métro Crémazie 550m,970.0,,2023-07-12 19:12:00,"8505 Rue Saint-Dominique, Montréal, QC H2P 2L6, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/villereray-2-1-2-tout-inclus-970-metro-cremazie-550m/1665947591,0,,0,,ROOFTOP,"{'lat': 45.5415119, 'lng': -73.63721500000001}",Villeray—Saint-Michel—Parc-Extension,H2P 2L6
8,"La Citadelle - 0 Bedroom, 1 Bathroom, Studio Apartment for Rent",1240.0,"Bringing you the ultimate experience in convenient rental living, La Citadelle combines an exciting roster of on-site amenities with an excellent location, putting everything you need at your fingertips.",2023-07-13 00:06:00,"La Citadelle, 2125 Rue St Marc, Montreal, QC H3H 2P1, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/la-citadelle-0-bedroom-1-bathroom-studio-apartment-for-rent/1663034604,0,2023-09-01 00:00:00,2,365.0,ROOFTOP,"{'lat': 45.494002, 'lng': -73.5820276}",Ville-Marie,H3H 2P1
9,"Christophe-Colomb, 2 1/2, 450m Métro Jean-Talon,",995.0,,2023-07-12 17:54:00,"7396 Ave Christophe-Colomb, Montreal, QC H2R 2S6, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/christophe-colomb-2-1-2-450m-metro-jean-talon/1663348440,0,2023-09-01 00:00:00,0,,ROOFTOP,"{'lat': 45.543676, 'lng': -73.6155661}",Villeray—Saint-Michel—Parc-Extension,H2R 2S6
10,"Métro Parc à 840m 2 1/2 chauffé, eau chaude,",995.0,,2023-07-12 17:33:00,"6585 Av du Parc, Montréal, QC H2V 4J1, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/metro-parc-a-840m-2-1-2-chauffe-eau-chaude/1665035558,0,,0,,ROOFTOP,"{'lat': 45.5276645, 'lng': -73.61372469999999}",Rosemont—La Petite-Patrie,H2V 4J1
11,"Métro Parc 850m, 2 1/2 chauffé, eau chaude",940.0,,2023-07-12 17:30:00,"6585 Av du Parc, Montréal, QC H2V 4J1, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/metro-parc-850m-2-1-2-chauffe-eau-chaude/1661475017,0,2023-07-01 00:00:00,0,,ROOFTOP,"{'lat': 45.5276645, 'lng': -73.61372469999999}",Rosemont—La Petite-Patrie,H2V 4J1
12,Year Lease Transfer/Sublet of 40m squared studio in Montreal,1289.0,"Found on the 20th floor, you have a studio apartment with a balcony which gives access to beautiful view of the city. You will be near all the necessities such as a pharmacy a minute away, and both the IGA and Metro grocery stores being 8 minutes away. You would also be near a starbucks and a plethora of both fast food chains and restaurants. The apartment comes with a fridge and a stove/oven and rent covers heating and hot water. Laundry can be done in the building on the 2nd floor for cheap. The staff is quick to fix any issues in the suite. The area is extremelly quiet, with both neighbours being respectful and the noise heard from the road being non exsistent. Currently the building is also adding a fitness center as well! More information can be found here :https://www.clvgroup.com/apartments/hampstead-towers",2023-07-12 17:24:00,"Montreal, QC H3X 2P6, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/year-lease-transfer-sublet-of-40m-squared-studio-in-montreal/1665936924,0,2023-09-01 00:00:00,2,441.0,APPROXIMATE,"{'lat': 45.48251459999999, 'lng': -73.6325007}",Côte-Des-Neiges—Notre-Dame-De-Grâce,H3X 2P6
13,Studio rénové à louer,1219.0,,2023-07-12 16:53:00,"1225 Rue St Marc, Montréal, QC H3H 2E7, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-renove-a-louer/1576427924,0,,1,,ROOFTOP,"{'lat': 45.4921891, 'lng': -73.5788603}",Ville-Marie,H3H 2E7
14,À LOUER / FOR RENT DOWNTOWN - STUDIO RÉNOVÉ / RENOVATED BACHELOR,1219.0,Cet immeuble situé au 1225 St Marc au coeur du centre ville,2023-07-12 16:47:00,"1225 Rue St Marc, Montréal, QC H3H 2E7, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/a-louer-for-rent-downtown-studio-renove-renovated-bachelor/1576427930,0,,0,,ROOFTOP,"{'lat': 45.4921891, 'lng': -73.5788603}",Ville-Marie,H3H 2E7
15,La Tour Lafontaine: Apartment for rent in Downtown Montreal,1299.0,"Bienvenue au Plateau-Mont-Royal où se trouve le magnifique parc Lafontaine. À quelques pas de cet emblématique espace vert se dresse la Tour Lafontaine, un superbe immeuble équipé de nombreux aménagements intérieurs et extérieurs. Profitez pleinement de la vue imprenable sur la ville et sur le parc qui vous est offerte depuis notre terrasse privée, ou profitez de tout ce que notre dynamique métropole a à offrir en partant à la découverte des nombreux magasins et restaurants des alentours. Avec ses plans d'étage adaptés à tous les styles de vie, la Tour Lafontaine saura assurément vous faire sentir parfaitement chez vous!",2023-07-12 16:43:00,"1025 R. Sherbrooke E, Montréal, QC H2L 1L4, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/la-tour-lafontaine:-apartment-for-rent-in-downtown-montreal/1652710582,0,2023-08-31 00:00:00,2,360.0,ROOFTOP,"{'lat': 45.52092630000001, 'lng': -73.566081}",Le Plateau-Mont-Royal,H2L 1L4
16,4875 Dufferin: Apartment for rent in Hampstead,1249.0,"Bienvenue au 4875 avenue Dufferin, un bâtiment confortable et parfaitement situé dans le quartier Côte-des-Neiges, à mi-chemin entre les stations de métro Villa-Maria et Snowdon. Sa proximité avec diverses options de transport en commun permet aux résidents de se rendre aux quatre coins de la ville en quelques minutes seulement. Promenez-vous à proximité le long de l'avenue Monkland, où vous trouverez à chaque détour des restaurants et des magasins réputés. Nos résidents peuvent également profiter d'une buanderie sur place, stationnement intérieur, balcons spacieux et une foule d'autres aménagements! Venez visiter votre nouvelle demeure dès aujourd'hui.",2023-07-12 16:17:00,"4875 Av. Dufferin, Montréal, QC H3X 2Z2, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4875-dufferin:-apartment-for-rent-in-hampstead/1647498016,0,2023-08-31 00:00:00,2,350.0,ROOFTOP,"{'lat': 45.4786809, 'lng': -73.6295141}",Côte-Des-Neiges—Notre-Dame-De-Grâce,H3X 2Z2
17,APPARTEMENT 1 ½ MEUBLÉ CENTRE-VILLE-PLATEAU-METRO PLACE DES ART,1250.0,Appartements 1 1/2 MEUBLÉS à louer à proximité de l'université UQAM et MCGILL au coin de St-Urbain et Sherbrooke,2023-07-12 16:05:00,"3475 Rue Saint-Urbain, Montréal, QC H2X 2N4, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-1-meuble-centre-ville-plateau-metro-place-des-art/1505830094,0,,0,,ROOFTOP,"{'lat': 45.5116502, 'lng': -73.570982}",Le Plateau-Mont-Royal,H2X 2N4
18,Studio apartment downtown Montreal - ID 2027,1125.0,,2023-07-12 16:04:00,"25 Av des Pins O, Montréal, QC H2W 1P8, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-apartment-downtown-montreal-id-2027/1665241321,0,2023-08-01 00:00:00,2,250.0,ROOFTOP,"{'lat': 45.5148039, 'lng': -73.575501}",Le Plateau-Mont-Royal,H2W 1P8
19,Studio Hochelaga TOUT INCLUS,950.0,"Studio Neuf : TOUT INCLUS ! :) Poêle, Frigo, Micro- ondes en stainless , électricité , eau chaude, internet haute vitesse, chauffage, air climatise avec control indépendant INCLUS ! Ascenseur, Intercom, Buanderie payante sur place. Grand balcon privé. Plancher en béton insonorisé. Surveillance par caméra 24/24, concierge sur place. Contactez Cecilia au 514-662-7004 pour une visite. Disponible le 1er Juin et le 1er Juillet 2023.",2023-07-12 15:10:00,"Rue la Fontaine, Montréal, QC, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-hochelaga-tout-inclus/1641915814,0,2023-06-01 00:00:00,0,350.0,GEOMETRIC_CENTER,"{'lat': 45.556393, 'lng': -73.5347694}",,
20,Montreal Studio Apartment for Rent - 105 Rue Milton,1032.0,Current Promotions,2023-07-12 15:00:00,"105 Rue Milton, Montréal, QC H2X 1V4, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/montreal-studio-apartment-for-rent-105-rue-milton/1612938330,0,,2,257.0,ROOFTOP,"{'lat': 45.51158940000001, 'lng': -73.5716561}",Le Plateau-Mont-Royal,H2X 1V4
21,2½ DANS ROSEMONT,895.0,INCLUS-chauffage et eau chaude-Poêle et réfrigérateur-Buanderie dans l'immeuble,2023-07-12 14:53:00,"3211 Rue Beaubien E, Montréal, QC H1Y 1H6, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-dans-rosemont/1651945015,0,,1,,ROOFTOP,"{'lat': 45.5545684, 'lng': -73.5869462}",Rosemont—La Petite-Patrie,H1Y 1H6
22,"AVAILABLE STUDIO+LOCKER, METRO ANGRIGNON, 2nd floor, Video ",1250.0,"Beau studio ensoleillé au deuxième étage avec une grande terrasse privée. L’appartement est rénové, complètement meublé, et décoré. Comprend un casier pour le rangement. Près de la station du métro Angrignon, parc Angrignon et du centre commercial Angrignon. L'immeuble est muni d'une terrasse sur le toit, d'un gym, d'une salle communautaire et d'un sauna. Très tranquille. Stationnement accessible dans la rue. Cet appartement est parfait pour un(e) jeune professionnel(le). Disponible immédiatement. 1250$, chauffage inclus.",2023-07-12 14:37:00,"Rue Allard, LaSalle, QC H8N 1Y7, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/available-studio-locker-metro-angrignon-2nd-floor-video/1665919806,0,2023-07-09 00:00:00,0,328.0,GEOMETRIC_CENTER,"{'lat': 45.4489482, 'lng': -73.6058159}",LaSalle,H8N 1Y7
